Larva,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,0-2,10-2,20-2,30-2,40-2,50-2,60-2,70-2,80-2,90-2,100-2,110-2,120-2,130-2,140-2,150-2,160-2,170-2,180-2,0-3,10-3,20-3,30-3,40-3,50-3,60-3,70-3,80-3,90-3,100-3,110-3,120-3,130-3,140-3,150-3,160-3,170-3,180-3
1,G14,I15,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P9,P9,P9,P9,P9,P9,P9,I16,B11,E15,F15,E15,B12,D3,I16,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,J16,K15,D14,C14,J16,I1,K15,L15,K15,K15,K15,K15,K15,K15,K15,L15,M14,M14,M14
2,K1,K1,K1,K2,K2,K15,K15,K1,K2,K1,K1,K1,K1,K1,K1,K1,K1,K1,K1,P9,O9,A9,K2,M14,A10,A9,K15,A10,A10,A10,A10,H16,K1,J1,A8,A8,I1,I1,I16,F15,D14,B6,B6,A8,O4,B11,D2,B4,B4,B4,B4,C14,C14,M2,I16,G1,G1
3,C10,B12,B12,B12,B12,B12,A12,A11,A11,B12,B12,B12,B12,B12,B12,B12,B12,B12,B12,B11,D3,A7,K15,D2,I16,I16,F2,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,P10,E2,K15,B11,A8,K15,K15,E15,P6,D3,C13,D14,H16,L2,N3,A7,J16,C4,A8
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,H16,G16,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,N5,I9,I16,L2,O8,E2,E2,E2,C4,I1,F9,H8,G1,G1,G1,A7,A7,A7,A8,M14,I1,L15,G16,H16,O8,P7,I16,I16,P7,M14,O7,K7,E7,L15,F2,F2,F2,F2
6,M2,M2,M2,M2,K3,K3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,G8,I8,H1,G1,L15,N14,N14,K16,P11,O13,O13,O13,O13,O13,O13,I16,O5,N14,E2,D4,L15,B5,F15,A10,G1,F16,F16,B12,A10,G16,G16,G16,I16,A8,C4,C4,C4,C4
7,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,B11,K15,A7,D4,N6,L15,M14,B3,N13,A8,F15,N8,N14,G1,C13,M5,J16,J16,B4,F15,E13,N13,P10,O4,C13,L10,E15,A8,P8,O10,B4,H1,I16,J15,C4,P9,F1,B5
8,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,D11,A6,M15,M15,L15,L15,M14,M15,M14,M14,M14,M15,M15,M15,M15,J16,J16,J16,J16,J16,J16,E1,F2,F16,M3,J16,J16,M3,K15,B4,O6,H1,J1,J1,J1,J1,J1,J1,J1,J1
9,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,E2,J11,G16,P9,L10,P10,L15,L13,H16,P8,A7,P6,C11,F16,M2,B6,A9,P6,H16,H16,A9,J15,N4,O11,B5,E2,G15,A7,L14,B12,J15,A10,D14,H15,A10,H16,F15,N13
10,B12,C13,C13,B12,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,I1,N13,O6,M3,B5,P6,K15,N13,O4,M2,M2,M2,M2,O11,O5,J1,C3,H13,M14,E12,M3,G6,D3,J14,C3,C14,G1,K11,J15,C11,B6,L14,H1,C13,O4,D2,D2,D2
11,K14,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,K7,A7,K15,G1,L2,N14,I16,N14,E2,B5,I1,M14,I1,L14,F1,J16,E2,N7,O12,J16,A9,G1,H1,J16,C3,A7,E2,D2,A7,K1,M3,G1,C3,A9,I1,A8,A9,D14,A6
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,M14,M14,M14,M14,M14,M14,M14,M14,M14,N14,M14,M14,M14,M14,M14,M14,M14,L12,L12,K15,B13,D8,B13,B12,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A8,A10,G16,C15,F1,B12,J16,A8,I1,A9,I1,L15,B12,J16,C13,L2,D14,P10,A10,A6,B5
14,F16,F16,B12,B12,D15,D15,D15,D15,D15,D15,D15,D15,D15,D15,D15,D15,O14,O13,O13,L13,B11,D2,A9,D11,J16,B12,F2,O5,L15,L9,K13,J13,J13,D14,A6,M14,D2,D2,K15,N13,B11,P6,P10,P9,P9,D14,C4,M3,N4,N14,N13,P10,N3,C5,P6,O12,C14
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,N3,N3,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,O4,K1,A8,N4,H1,O5,B6,D14,I1,P7,E15,A9,H16,K1,D14,N4,K12,H16,H16,H16,O5,H16,G1,M2,P8,K15,P6,G16,N13,I16,N13,D3,O12,O4,I16,N13,H1,N4,G1
17,J16,E11,H11,H11,H11,F9,F9,F9,F9,F9,F9,F9,F9,F9,F9,F9,F9,F9,F9,N14,N13,N13,F4,P9,P9,N13,A7,P11,J16,P9,P7,O12,M14,K15,P9,G16,G16,G16,A9,J5,A8,N14,A10,A6,B12,C14,L2,K14,E15,O12,D14,A11,A6,N13,D2,L15,C14
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,J16,H16,H16,G16,G16,G16,F16,F16,F16,F16,F16,F16,F16,F16,F16,F16,E15,E15,E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,F2,C7,A10,B7,C7,D7,D7,D6,D7,D7,D7,D7,D7,D7,C7,C7,C7,C7,C7,D14,C2,B11,C14,G16,G15,L15,B6,C13,C13,C13,F16,F15,M3,K15,A7,A7,M2,D3,I1,E2,H3,M3,J16,L15,B4,O12,O12,O12,O12,O12,O12,D2,O12,L14,P9,P8,C13
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,N14,N14,N14,N14,N14,N14,N14,O13,P11,P11,P11,P11,P11,P11,P11,P11,P11,P11,P11,J16,H13,E15,D10,B11,E15,D15,E15,O11,B6,B6,B6,B7,F2,J6,K6,B5,I2,O4,F2,O12,A9,G16,O6,C4,O5,B5,B4,B4,B4,B4,B4,B4,B4,D15,B4,K2,F16
24,B5,N13,N13,N13,N13,N13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O12,O12,G16,O6,C3,A8,K1,B13,L15,N4,N4,N4,N4,N4,N4,N4,N4,N4,N4,N4,N4,D3,F7,D2,O5,P6,C3,B5,E15,A7,O5,P7,C3,O12,A10,G1,C3,A7,P9,L2
25,P8,P8,P8,P8,P8,P8,P8,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,O12,O12,O12,L11,B13,O12,C4,B3,M14,K15,O11,B6,E2,B5,N13,N4,A11,N13,H5,N13,P8,A11,N13,O13,H16,B11,E2,B5,O6,O7,N3,N14,L13,L15,E2,J1,H1,O5
26,L13,I16,I16,I16,I16,I16,I16,H16,H16,H16,H16,H16,H16,H16,H16,H16,H16,H16,H16,B12,E15,H1,H16,G1,D15,O7,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,N4,I16,P8,n13,P9,I16,L2,M3,M2,F16,P9,J16,I16,I16,N13,E2,N14,N14,N14
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,L1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,N3,M2,K14,E7,N3,B12,B5,O4,P9,P7,O5,B6,B6,B6,B6,B6,B6,L2,F11,B8,N14,L15,M14,I4,F15,J16,G16,J1,G1,C4,G16,G16,B5,I16,M15,K1,O12,N13
29,O13,O13,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,O5,P8,K2,D2,G1,G16,B5,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,L8,D2,H15,P7,C13,H2,I1,F15,G1,G1,G1,G1,G1,A7,D14,P10,A8,K1,E1
30,E9,A9,A9,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,C6,C6,K4,A8,G14,B13,B5,A7,E15,E15,E15,E15,G16,H16,G16,H16,H16,F15,F15,F15,F15,G16,C3,N5,I8,B4,K2,B5,L2,O5,D2,D2,D2,C14,O5,O5,F1,B5,B5,C5
31,M2,L6,L6,L6,L6,L6,K6,P6,K1,K1,K1,K1,K1,K1,K1,K1,K1,K1,K1,I13,F6,B8,O4,K5,K5,K5,K5,D3,D3,A6,A7,A6,A6,A6,B9,B9,B9,C9,I9,F15,N13,N13,O11,E3,P10,E3,P9,P9,I1,C14,C14,C14,C14,C14,C14,C14,D14
32,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,P8,O2,N4,D14,P10,P10,J16,J16,J2,N13,N13,B5,A11,O12,O12,B5,A8,L15,I1,F1,N4,D3,A7,P10,D14,B5,B5,B5,B4,B4,B4,B4,B4,B4,B4,A7,O5,J1
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
